Timestamp,Source IP,Source Port,Destination IP,Destination Port,Protocol,Length,Sequence Number,Acknowledgment Number,Flags,Window Size,Checksum,Payload (Hex),Truncated
2024-09-07T13:50:46.922Z,162.159.135.234,443,172.20.165.17,61130,TCP,107,37496745,1343750160,18,16,113f,e00af690bdbb68e59e61f51f08004500005d53a700003f06ac44a29f87ea...,No
2024-09-07T13:50:46.961Z,172.20.165.17,61130,162.159.135.234,443,TCP,54,3035198785,1343226363,10,507,ed93,68e59e61f51fe00af690bdbb0800450000285b354000800623ebac14a511...,No
2024-09-07T13:50:47.077Z,172.20.165.17,54110,20.42.73.28,443,TCP,172,399848781,1343750656,18,512,4783,68e59e61f51fe00af690bdbb08004500009e92c740008006b926ac14a511...,No
2024-09-07T13:50:47.079Z,172.20.165.17,54110,20.42.73.28,443,TCP,1436,399848781,1343226368,10,512,90c4,68e59e61f51fe00af690bdbb08004500058e92c940008006b434ac14a511...,No
2024-09-07T13:50:47.079Z,172.20.165.17,54110,20.42.73.28,443,TCP,93,399848781,1343750656,18,512,752f,68e59e61f51fe00af690bdbb08004500004f92c840008006b974ac14a511...,No
2024-09-07T13:50:47.080Z,172.20.165.17,54110,20.42.73.28,443,TCP,1436,399848781,1343226368,10,512,55ca,68e59e61f51fe00af690bdbb08004500058e92ca40008006b433ac14a511...,No
2024-09-07T13:50:47.083Z,172.20.165.17,54110,20.42.73.28,443,TCP,1436,399848781,1343226368,10,512,4915,68e59e61f51fe00af690bdbb08004500058e92cd40008006b430ac14a511...,No
2024-09-07T13:50:47.084Z,172.20.165.17,54110,20.42.73.28,443,TCP,1436,399848781,1343226368,10,512,c813,68e59e61f51fe00af690bdbb08004500058e92ce40008006b42fac14a511...,No
2024-09-07T13:50:47.082Z,172.20.165.17,54110,20.42.73.28,443,TCP,1436,399848781,1343226368,10,512,8799,68e59e61f51fe00af690bdbb08004500058e92cc40008006b431ac14a511...,No
2024-09-07T13:50:47.081Z,172.20.165.17,54110,20.42.73.28,443,TCP,1436,399848781,1343226368,10,512,e523,68e59e61f51fe00af690bdbb08004500058e92cb40008006b432ac14a511...,No
2024-09-07T13:50:47.085Z,172.20.165.17,54110,20.42.73.28,443,TCP,844,399848781,1343750656,18,512,86b8,68e59e61f51fe00af690bdbb08004500033e92cf40008006b67eac14a511...,No
2024-09-07T13:50:47.086Z,20.42.73.28,443,172.20.165.17,54110,TCP,60,1215447060,1343226496,10,640,5426,e00af690bdbb68e59e61f51f08004500002861d800003f066b8c142a491c...,No
2024-09-07T13:50:47.086Z,20.42.73.28,443,172.20.165.17,54110,TCP,60,1215447099,1343226496,10,640,53ff,e00af690bdbbb01f8c2cc03008004500002861d900003f066b8b142a491c...,No
2024-09-07T13:50:47.088Z,20.42.73.28,443,172.20.165.17,54110,TCP,60,1215449863,1343226486,10,630,493d,e00af690bdbbb01f8c2cc03008004500002861db00003f066b89142a491c...,No
2024-09-07T13:50:47.089Z,20.42.73.28,443,172.20.165.17,54110,TCP,60,1215451245,1343226481,10,625,43dc,e00af690bdbbb01f8c2cc03008004500002861dc00003f066b88142a491c...,No
2024-09-07T13:50:47.087Z,20.42.73.28,443,172.20.165.17,54110,TCP,60,1215448481,1343226491,10,635,4e9e,e00af690bdbbb01f8c2cc03008004500002861da00003f066b8a142a491c...,No
2024-09-07T13:50:47.091Z,20.42.73.28,443,172.20.165.17,54110,TCP,60,1215455391,1343226480,10,624,33ab,e00af690bdbbb01f8c2cc03008004500002861df00003f066b85142a491c...,No
2024-09-07T13:50:47.091Z,20.42.73.28,443,172.20.165.17,54110,TCP,60,1215454009,1343226485,10,629,390c,e00af690bdbbb01f8c2cc03008004500002861de00003f066b86142a491c...,No
2024-09-07T13:50:47.090Z,20.42.73.28,443,172.20.165.17,54110,TCP,60,1215452627,1343226490,10,634,3e6d,e00af690bdbbb01f8c2cc03008004500002861dd00003f066b87142a491c...,No
2024-09-07T13:50:47.092Z,20.42.73.28,443,172.20.165.17,54110,TCP,60,1215456181,1343226477,10,621,3098,e00af690bdbbb01f8c2cc03008004500002861e000003f066b84142a491c...,No
2024-09-07T13:50:47.159Z,172.20.165.17,52040,20.42.65.85,443,TCP,133,479564988,1343750656,18,512,b3e9,68e59e61f51fe00af690bdbb08004500007711314000800642abac14a511...,No
2024-09-07T13:50:47.162Z,172.20.165.17,52040,20.42.65.85,443,TCP,93,479564988,1343750656,18,512,1ba6,68e59e61f51fe00af690bdbb08004500004f11324000800642d2ac14a511...,No
2024-09-07T13:50:47.163Z,172.20.165.17,52040,20.42.65.85,443,TCP,965,479564988,1343750656,18,512,097b,68e59e61f51fe00af690bdbb0800450003b71133400080063f69ac14a511...,No
2024-09-07T13:50:47.165Z,20.42.65.85,443,172.20.165.17,52040,TCP,60,376999264,1343226493,10,637,e484,e00af690bdbbb01f8c2cc030080045000028ece400003f06e846142a4155...,No
2024-09-07T13:50:47.164Z,20.42.65.85,443,172.20.165.17,52040,TCP,60,376998353,1343226496,10,640,e810,e00af690bdbbb01f8c2cc030080045000028ece300003f06e847142a4155...,No
2024-09-07T13:50:47.163Z,20.42.65.85,443,172.20.165.17,52040,TCP,60,376998314,1343226496,10,640,e837,e00af690bdbb68e59e61f51f080045000028ece200003f06e848142a4155...,No
2024-09-07T13:50:47.293Z,20.42.73.28,443,172.20.165.17,54110,TCP,93,1215456181,1343750784,18,640,818b,e00af690bdbb68e59e61f51f08004500004f61ee00003f066b4f142a491c...,No
2024-09-07T13:50:47.344Z,172.20.165.17,54110,20.42.73.28,443,TCP,54,399848820,1343226368,10,512,30de,68e59e61f51fe00af690bdbb08004500002892d040008006b993ac14a511...,No
2024-09-07T13:50:47.379Z,20.42.65.85,443,172.20.165.17,52040,TCP,86,376999264,1343750784,18,640,1b04,e00af690bdbb68e59e61f51f080045000048ed4200003f06e7c8142a4155...,No
2024-09-07T13:50:47.438Z,172.20.165.17,52040,20.42.65.85,443,TCP,54,479565020,1343226368,10,512,e4e1,68e59e61f51fe00af690bdbb08004500002811344000800642f7ac14a511...,No
2024-09-07T13:50:47.503Z,20.42.73.28,443,172.20.165.17,54110,TCP,89,1215456181,1343750784,18,640,0612,e00af690bdbb68e59e61f51f08004500004b61f800003f066b49142a491c...,No
2024-09-07T13:50:47.564Z,172.20.165.17,54110,20.42.73.28,443,TCP,54,399848855,1343226368,10,512,30bb,68e59e61f51fe00af690bdbb08004500002892d140008006b992ac14a511...,No
2024-09-07T13:50:47.596Z,162.159.135.234,443,172.20.165.17,61130,TCP,167,37496745,1343750160,18,16,efdb,e00af690bdbb68e59e61f51f08004500009953c600003f06abe9a29f87ea...,No
2024-09-07T13:50:47.598Z,20.42.65.85,443,172.20.165.17,52040,TCP,93,376999264,1343750784,18,640,3fd8,e00af690bdbb68e59e61f51f08004500004fef8900003f06e57a142a4155...,No
2024-09-07T13:50:47.644Z,172.20.165.17,61130,162.159.135.234,443,TCP,54,3035198898,1343226368,10,512,ed1d,68e59e61f51fe00af690bdbb0800450000285b364000800623eaac14a511...,No
2024-09-07T13:50:47.647Z,172.20.165.17,52040,20.42.65.85,443,TCP,54,479565059,1343226368,10,512,e4ba,68e59e61f51fe00af690bdbb08004500002811354000800642f6ac14a511...,No
2024-09-07T13:50:47.759Z,20.42.73.28,443,172.20.165.17,54110,TCP,154,1215456181,1343750784,18,640,4309,e00af690bdbb68e59e61f51f08004500008c61fe00003f066b02142a491c...,No
